,item number,data item,croydon text,croydon main reason for recording data item,essex text,essex main reason for recording local data item,sutton text,sutton main reason for recording local data item,camden text,camden main reason for recording local data item
1120,Item 1103,"Why is a panel needed, what has been done to help find suitable care for the child's needs?","Please give details of reasons for presenting this case to panel, attempts that have been made to find an alternative to care and what resource would meet this Child / Young Person's needs",2. For management oversight of case decisions and accountability purposes,,,,,,
1123,Item 1106,What is the rehabilitation plan for the child/placement?,What is your rehabilitation plan?,2. For management oversight of case decisions and accountability purposes,,,,,,
1124,Item 1107,What is your alternative permanency plan?,What is your alternative permanency plan?,2. For management oversight of case decisions and accountability purposes,,,,,,
1126,Item 1109,Does the service manager know a child's case is going to a care panel?,Is the Service Manager aware of the Child/Young Person's case is going to Care Panel? ,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,,,,
1138,Item 1121,View of the independent reviewing officer,independent reviewing officer view,2. For management oversight of case decisions and accountability purposes,,,,,,
1139,Item 1122,Care panel (Outcome),Outcome of panel,2. For management oversight of case decisions and accountability purposes,,,,,,
1140,Item 1123,Has a semi independent provision review been completed?,Semi Independent Provision Review Complete,2. For management oversight of case decisions and accountability purposes,,,,,,
1141,Item 1124,What type of placement type will the child be placed in,Placement Type,,,,,,,
1142,Item 1125,Care panel outcome (band of care),Band,2. For management oversight of case decisions and accountability purposes,,,,,,
1143,Item 1126,Additional cost to care plan?,Item (Service),2. For management oversight of case decisions and accountability purposes,,,,,,
1144,Item 1127,Maximum cost of care plan?,Cost (maximum),2. For management oversight of case decisions and accountability purposes,,,,,,
1145,Item 1128,Can the child's placement be supported with joint funding?,Is there potential for joint funding?,2. For management oversight of case decisions and accountability purposes,,,,,,
1146,Item 1129,Name of person completing plan,Plan completed by:,2. For management oversight of case decisions and accountability purposes,,,,,,
1147,Item 1130,Does the child have any already open plans?,Does this child / young person have any other relevant open plans?,2. For management oversight of case decisions and accountability purposes,,,,,,
1148,Item 1131,"Is this an education, and health care plan?","Education, Health & Care Plan",2. For management oversight of case decisions and accountability purposes,,,,,,
1149,Item 1132,Is this a child protection plan?,Child Protection Plan,2. For management oversight of case decisions and accountability purposes,,,,,,
1150,Item 1133,Is this another type of plan?,Other,2. For management oversight of case decisions and accountability purposes,,,,,,
1152,Item 1135,When was the last 'other' plan?,Date of latest Other Plan,2. For management oversight of case decisions and accountability purposes,,,,,,
1154,Item 1137,Does the child need a contextual safeguarding plan?,Does the Child/YP need a Contextual Safeguarding Plan?,2. For management oversight of case decisions and accountability purposes,,,,,,
1156,Item 1139,Do the child's contact arrangements need to change?,Are there any changes required in the contact arrangements for the child/young person?,1. For social work practitioners and/or the child/YP,,,,,,
1162,Item 1145,Did the child help to plan the CLA review?,Did you the Child/Young Person contribute to the planning of the review?,2. For management oversight of case decisions and accountability purposes,,,,,,
1164,Item 1147,Did the child attend the review meeting?,Did the child/young person attend the review meeting?,2. For management oversight of case decisions and accountability purposes,,,,,,
1165,Item 1148,Did the CLA review meeting have a co-chair?,Was the meeting co-chaired?,2. For management oversight of case decisions and accountability purposes,,,,,,
1166,Item 1149,Child's participation code,Please enter the child/young persons participation code,,,,,,,
1167,Item 1150,Has a parent consultation paper been completed?,Consultation Paper completed?,2. For management oversight of case decisions and accountability purposes,,,,,,
1168,Item 1151,What are the child/young person's feelings?,Child / young person’s wishes and feelings :,2. For management oversight of case decisions and accountability purposes,,,,,,
1169,Item 1152,How many parents are involved with the child?,How many parents are involved with this child?,2. For management oversight of case decisions and accountability purposes,,,,,,
1170,Item 1153,"If no parents are involved with the child, why?","If no parents involved, what is the reason for this?",2. For management oversight of case decisions and accountability purposes,,,,,,
1172,Item 1155,Parents participation in CLA,Parent participation,2. For management oversight of case decisions and accountability purposes,,,,,,
1173,Item 1156,Has a carer consultation paper been completed?,Consultation Paper completed?,2. For management oversight of case decisions and accountability purposes,,,,,,
1175,Item 1158,Has a chair consultation paper been completed?,Consultation Paper completed?,2. For management oversight of case decisions and accountability purposes,,,,,,
1176,Item 1159,Chair comments on CLA plan,Chair’s comments on plan,2. For management oversight of case decisions and accountability purposes,,,,,,
1178,Item 1161,Is this a subsequent CLA review?,Is this a second or subsequent review?,2. For management oversight of case decisions and accountability purposes,,,,,,
1179,Item 1162,Did the independent reviewing officer make a recommendation at this review about permanence?,IRO to include a recommendation at this review about permanence,2. For management oversight of case decisions and accountability purposes,,,,,,
1180,Item 1163,CLA Review date,Review Date,2. For management oversight of case decisions and accountability purposes,,,,,,
1181,Item 1164,CLA Review decision,"Decision
Outcome",2. For management oversight of case decisions and accountability purposes,,,,,,
1182,Item 1165,Person acting on CLA decision,Person,2. For management oversight of case decisions and accountability purposes,,,,,,
1183,Item 1166,Timeframe to act on CLA decision,Timeframe,2. For management oversight of case decisions and accountability purposes,,,,,,
1184,Item 1167,Child's legal status after CLA decision,Status,2. For management oversight of case decisions and accountability purposes,,,,,,
1187,Item 1170,Record of CLA decisions date,CLA Review - Record of Decisions - Completion Date,2. For management oversight of case decisions and accountability purposes,,,,,,
1195,Item 1178,Does the child or a person in their life think the child needs an advocate for a CLA review?,Does the young person or anyone in their life think that an advocate would be helpful?,2. For management oversight of case decisions and accountability purposes,,,,,,
1197,Item 1180,Has a referral been made since the CLA review?,Has a referral been made?,2. For management oversight of case decisions and accountability purposes,,,,,,
1198,Item 1181,Date of CLA review referral,Date of referral,2. For management oversight of case decisions and accountability purposes,,,,,,
1201,Item 1184,What is the young person's view on the referral?,What is the young person's view?,2. For management oversight of case decisions and accountability purposes,,,,,,
1202,Item 1185,Is the child happy with their independent visitor's input?,Is the child/young person happy with their IV input?,2. For management oversight of case decisions and accountability purposes,,,,,,
1208,Item 1191,Has the child previously been adopted or left care?,Has the child / young person previously been adopted or left care for special guardianship or residence order?,2. For management oversight of case decisions and accountability purposes,,,,,,
1209,Item 1192,Specify when the child has previously left care?,"If so, please specify",2. For management oversight of case decisions and accountability purposes,,,,,,
1210,Item 1193,Was feedback received on the review?,Was feedback received?,2. For management oversight of case decisions and accountability purposes,,,,,,
1211,Item 1194,What feedback was given on the review?,Feedback Received,2. For management oversight of case decisions and accountability purposes,,,,,,
1262,Item 1244,What is the impact of the CLA plan on the child?,What is the impact on child/young person?,1. For social work practitioners and/or the child/YP,,,,,,
1324,Item 1306,Which permanency plan does this action relate to?,Which Permanency Plan does this relate to?,2. For management oversight of case decisions and accountability purposes,,,,,,
1325,Item 1307,What progress has been made on the permanency plan?,Progress,2. For management oversight of case decisions and accountability purposes,,,,,,
1326,Item 1308,What area should the permanency plan address?,Area Addressed,2. For management oversight of case decisions and accountability purposes,,,,,,
1327,Item 1309,"What are the aspirations for the permanency plan, what should it address?",What are our aspirations? / What needs to change?,1. For social work practitioners and/or the child/YP,,,,,,
1328,Item 1310,Measures for goals of permanency plan?,How will we know when it has been achieved?,1. For social work practitioners and/or the child/YP,,,,,,
1330,Item 1311,Date CLA referral was received,Date Referral Received,2. For management oversight of case decisions and accountability purposes,,,,,,
1331,Item 1312,Date of last meeting with child,Last Review Date,2. For management oversight of case decisions and accountability purposes,,,,,,
1332,Item 1313,Date of planned review,Review Planned Date,2. For management oversight of case decisions and accountability purposes,,,,,,
1333,Item 1314,Date next meeting is due,Review Due Date,2. For management oversight of case decisions and accountability purposes,,,,,,
1336,Item 1317,Date plan form was completed,Review Minutes Completed,2. For management oversight of case decisions and accountability purposes,,,,,,
1344,Item 1325,CLA letter to child,Summary,1. For social work practitioners and/or the child/YP,,,,,,
1369,Item 1348,SW completing report,Social Worker Completing the Report,1. For social work practitioners and/or the child/YP,,,,,,
1370,Item 1349,Report completed end date,Review Report Completed,1. For social work practitioners and/or the child/YP,,,,,,
1371,Item 1350,SW's view on what is going well with the pathway plan,What is working well?,1. For social work practitioners and/or the child/YP,,,,,,
1372,Item 1351,SW's view on what to be worried about with the pathway plan,What are we worried about?,1. For social work practitioners and/or the child/YP,,,,,,
1373,Item 1352,SW's view on the impact of the pathway plan on the child ,What is the impact on the young person?,1. For social work practitioners and/or the child/YP,,,,,,
1374,Item 1353,SW's view on grey areas in the pathway plan?,Grey areas - areas to explore further?,1. For social work practitioners and/or the child/YP,,,,,,
1375,Item 1354, SW's view on other important pathway plan details,Other relevant information,1. For social work practitioners and/or the child/YP,,,,,,
1376,Item 1355, SW's assessment and analysis of the pathway plan,Assessment & Analysis,1. For social work practitioners and/or the child/YP,,,,,,
1377,Item 1356,Which permanency plans do these actions relate to?,Which Permanency Plan does this relate to?,1. For social work practitioners and/or the child/YP,,,,,,
1378,Item 1357,SW's view on aspirations/changes for the child's identification?,What are our aspirations? / What needs to change?,1. For social work practitioners and/or the child/YP,,,,,,
1379,Item 1358,SW's views on measures of changes  for the child's identification?,How will we know when it has been achieved?,1. For social work practitioners and/or the child/YP,,,,,,
1380,Item 1359,Actions to achieve changes  for the child's identification?,Actions to achieve this,1. For social work practitioners and/or the child/YP,,,,,,
1381,Item 1360,Who will perform actions  for the child's identification?,Who will do this?,1. For social work practitioners and/or the child/YP,,,,,,
1382,Item 1361,When will the actions be made to make changes  for the child's identification?,When?,1. For social work practitioners and/or the child/YP,,,,,,
1383,Item 1362,Progress and comment on actions being made  for the child's identification,Progress & Comment,1. For social work practitioners and/or the child/YP,,,,,,
1384,Item 1363,What are the SW's aspirations/goals for the child's finances?,What are our aspirations? / What needs to change?,1. For social work practitioners and/or the child/YP,,,,,,
1385,Item 1364,Measure's for SW's goals for the child's finances?,How will we know when it has been achieved?,1. For social work practitioners and/or the child/YP,,,,,,
1386,Item 1365,Actions to achieve SW's finance goals for the child,Actions to achieve this,1. For social work practitioners and/or the child/YP,,,,,,
1387,Item 1366,Who will perform actions to achieve SW's goals for child's finances?,Who will do this?,1. For social work practitioners and/or the child/YP,,,,,,
1388,Item 1367,When will the actions be taken to achieve SW's goals for child's finances,When?,1. For social work practitioners and/or the child/YP,,,,,,
1389,Item 1368,Comments and progress towards SW's goals for child's finances,Progress & Comment,1. For social work practitioners and/or the child/YP,,,,,,
1390,Item 1369,What are the SW's aspirations/goals for the child's accommodation?,What are our aspirations? / What needs to change?,1. For social work practitioners and/or the child/YP,,,,,,
1391,Item 1370,Measures for SW's goals for the child's accommodation?,How will we know when it has been achieved?,1. For social work practitioners and/or the child/YP,,,,,,
1392,Item 1371,Actions to achieve SW's accommodation goals for the child,Actions to achieve this,1. For social work practitioners and/or the child/YP,,,,,,
1393,Item 1372,Who will perform actions to achieve SW's goals for child's accommodation?,Who will do this?,1. For social work practitioners and/or the child/YP,,,,,,
1394,Item 1373,When will the actions be taken to achieve SW's goals for child's accommodation?,When?,1. For social work practitioners and/or the child/YP,,,,,,
1395,Item 1374,Comments and progress towards SW's goals for child's accomodation,Progress & Comment,1. For social work practitioners and/or the child/YP,,,,,,
1396,Item 1375,What are the SW's aspirations/goals for the child's education?,What are our aspirations? / What needs to change?,1. For social work practitioners and/or the child/YP,,,,,,
1397,Item 1376,Measures for SW's goals for the child's education?,How will we know when it has been achieved?,1. For social work practitioners and/or the child/YP,,,,,,
1398,Item 1377,Actions to achieve SW's education goals for the child,Actions to achieve this,1. For social work practitioners and/or the child/YP,,,,,,
1399,Item 1378,Who will perform actions to achieve SW's goals for child's education?,Who will do this?,1. For social work practitioners and/or the child/YP,,,,,,
1400,Item 1379,When will the actions be taken to achieve SW's goals for child's education?,When?,1. For social work practitioners and/or the child/YP,,,,,,
1401,Item 1380,Comments and progress towards SW's goals for child's education,Progress & Comment,1. For social work practitioners and/or the child/YP,,,,,,
1402,Item 1381,What are the SW's aspirations/goals for the child's health?,What are our aspirations? / What needs to change?,1. For social work practitioners and/or the child/YP,,,,,,
1403,Item 1382,Measures for SW's goals for the child's health?,How will we know when it has been achieved?,1. For social work practitioners and/or the child/YP,,,,,,
1404,Item 1383,Actions to achieve SW's health goals for the child?,Actions to achieve this,1. For social work practitioners and/or the child/YP,,,,,,
1405,Item 1384,Who will perform actions to achieve SW's goals for child's health?,Who will do this?,1. For social work practitioners and/or the child/YP,,,,,,
1406,Item 1385,When will the actions be taken to achieve SW's goals for child's health?,When?,1. For social work practitioners and/or the child/YP,,,,,,
1407,Item 1386,Comments and progress towards SW's goals for child's health,Progress & Comment,1. For social work practitioners and/or the child/YP,,,,,,
1408,Item 1387,What are the SW's aspirations/goals for the child's family?,What are our aspirations? / What needs to change?,1. For social work practitioners and/or the child/YP,,,,,,
1409,Item 1388,Measures for SW's goals for the child's family?,How will we know when it has been achieved?,1. For social work practitioners and/or the child/YP,,,,,,
1410,Item 1389,Actions to achieve SW's family goals for the child?,Actions to achieve this,1. For social work practitioners and/or the child/YP,,,,,,
1411,Item 1390,Who will perform actions to achieve SW's goals for child's family?,Who will do this?,1. For social work practitioners and/or the child/YP,,,,,,
1412,Item 1391,When will the actions be taken to achieve SW's goals for child's family?,When?,1. For social work practitioners and/or the child/YP,,,,,,
1413,Item 1392,Comments and progress towards SW's goals for child's family,Progress & Comment,1. For social work practitioners and/or the child/YP,,,,,,
1414,Item 1393,What are the SW's aspirations/goals for the child's skills?,What are our aspirations? / What needs to change?,1. For social work practitioners and/or the child/YP,,,,,,
1415,Item 1394,Measures for SW's goals for the child's skills?,How will we know when it has been achieved?,1. For social work practitioners and/or the child/YP,,,,,,
1416,Item 1395,Actions to achieve SW's skill goals for the child?,Actions to achieve this,1. For social work practitioners and/or the child/YP,,,,,,
1417,Item 1396,Who will perform actions to achieve SW's goals for child's skills?,Who will do this?,1. For social work practitioners and/or the child/YP,,,,,,
1418,Item 1397,When will the actions be taken to achieve SW's goals for child's skills?,When?,1. For social work practitioners and/or the child/YP,,,,,,
1419,Item 1398,Comments and progress towards SW's goals for child's skills,Progress & Comment,1. For social work practitioners and/or the child/YP,,,,,,
1421,Item 1399,Date of placement agreement meeting,Date of Agreement meeting,1. For social work practitioners and/or the child/YP,,,,,,
1422,Item 1400,Who can arrange a school/college place for a child?,"If the child/young person is not in school/college, who will liaise to arrange a place?",1. For social work practitioners and/or the child/YP,,,,,,
1423,Item 1401,How will the child/young person get to their place of education?,How will the child/young person get to school/college?,1. For social work practitioners and/or the child/YP,,,,,,
1424,Item 1402,Details of young person's views on the plan,Young person's views - Details,1. For social work practitioners and/or the child/YP,,,,,,
1426,Item 1404,Carer's views on the plan,Carer's views - Details,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,,,,
1427,Item 1405,Plan supervising social worker name,Supervising Social Worker - Name,1. For social work practitioners and/or the child/YP,,,,,,
1428,Item 1406,Date agreed with person with parental responsibility,Parent/Person with PR - Date,1. For social work practitioners and/or the child/YP,,,,,,
1429,Item 1407,Date agreed with other family members with parental responsibility,Another family member with PR - Date,1. For social work practitioners and/or the child/YP,,,,,,
1430,Item 1408,Date agreed with carer/key worker,Carer / Keyworker - Date,1. For social work practitioners and/or the child/YP,,,,,,
1431,Item 1409,Date agreed with allocated social worker,Allocated Social Worker - Date,1. For social work practitioners and/or the child/YP,,,,,,
1432,Item 1410,Date agreed with Supervising social worker,Supervising Social Worker - Date,1. For social work practitioners and/or the child/YP,,,,,,
1433,Item 1411,Date agreed with other relevant parties,Other - Date,1. For social work practitioners and/or the child/YP,,,,,,
1450,Item 1428,Signature of supervising social worker,Supervising Social Worker - Signature,1. For social work practitioners and/or the child/YP,,,,,,
1451,Item 1429,Signature of other relevant parties,Other - Signature,1. For social work practitioners and/or the child/YP,,,,,,
1456,,,In Croydon visit details are seprately recorded in Case Notes,,,,,,,
1503,,,In Croydon this is done as a seprate document rather than a form as part of the CLA process,,,,,,,
1552,,,In Croydon these details are filled in in a seprate form 'Midway Review' used by IROs,,,,,,,
20,Item 20,Status under leaving care act,,,,,,,Status under the Leaving Care Act,4. For statutory data requirements outside of the Annex A or 903 returns
113,Item 112,"What support will the young person receive on leaving custody, including their looked after status?",,,,,,,"What support will the young person receive on leaving custody, including their looked after status?",1. For social work practitioners and/or the child/YP
153,Item 151,SW/Professional -  Contribution to the plan,,,,,,,People involved in the assessment Contribution,1. For social work practitioners and/or the child/YP
191,Item 189,Details of involved professionals Person Working With,,,,,,,Details of involved professionals Person Working With,1. For social work practitioners and/or the child/YP
254,Item 249,Has the child/young person's savings been transferred to the new placement?,,,,,,,Has the child/young person's savings been transferred to the new placement?,1. For social work practitioners and/or the child/YP
270,Item 265,"If the child has recourse to public funds, will a human rights assessment be carried out?",,,,,,,"If yes, will a human rights assessment also be carried out?",1. For social work practitioners and/or the child/YP
312,Item 306,Was the child's bedroom seen?,,,,,,,"Was the child's bedroom seen?
Has the child's bedroom been seen since the last review?",2. For management oversight of case decisions and accountability purposes
344,Item 337,Child's current key stage,,,,,,,Current Key Stage,1. For social work practitioners and/or the child/YP
388,Item 380,Birth location,,,,,,,Hospital or other location where born,1. For social work practitioners and/or the child/YP
395,Item 387,GP of parent Name,,,,,,,GP of parent Name,1. For social work practitioners and/or the child/YP
396,Item 388,GP of parent Address,,,,,,,GP of parent Address,1. For social work practitioners and/or the child/YP
397,Item 389,GP of parent Telephone,,,,,,,GP of parent Telephone,1. For social work practitioners and/or the child/YP
404,Item 396,Dental appointment within 6 months?,,,,,,,Has the child had a dental appointment in the last 6 months?,1. For social work practitioners and/or the child/YP
428,Item 420,Substance use intervention?,,,,,,,"Substance misuse If Yes, has the child received an intervention for substance misuse problem?",
429,Item 421,Child refused substance misuse intervention,,,,,,,"Substance misuse If the child has NOT received an intervention, was the child offered an intervention but refused it?",
431,Item 423,Are Youth Offending Services involved with the child?,,,,,,,Are the Youth Offending Services involved with this case ?,1. For social work practitioners and/or the child/YP
433,Item 425,"CAMHS: If so, is CAMHS service provided by this LA or other borough PCT?",,,,,,,"CAMHS If so, is CAMHS service provided by Camden or other borough PCT?",1. For social work practitioners and/or the child/YP
434,Item 426,CAMHS: Name of borough if applicable,,,,,,,CAMHS Name of borough if applicable,1. For social work practitioners and/or the child/YP
510,Item 501,Foster carer role in contact,,,,,,,Foster carer's role in supervision,1. For social work practitioners and/or the child/YP
528,Item 519,People with whom the contact is restricted / forbidden - Subject,,,,,,,People with whom the contact is restricted / forbidden - Subject,1. For social work practitioners and/or the child/YP
534,Item 525,Nature of contact restriction,,,,,,,People with whom the contact is restricted or terminated Nature of restriction or termination,1. For social work practitioners and/or the child/YP
535,Item 526,"Arrangements for contact, including contact between separated siblings Arrangements (transport, location, supervision) ",,,,,,,"Arrangements for contact, including contact between separated siblings Arrangements (transport, location, supervision) ",1. For social work practitioners and/or the child/YP
550,Item 541,Outline the communication arrangements between the carer and local authority,,,,,,,Outline the communication arrangements between the carer and local authority,1. For social work practitioners and/or the child/YP
551,Item 542,Outline the carer's responsibilities for notifying the child's social worker and local authority of any significant changes in the child's circumstances,,,,,,,Outline the carer's responsibilities for notifying the child's social worker and local authority of any significant changes in the child's circumstances,1. For social work practitioners and/or the child/YP
617,Item 605,Is there an up to date Pathway Plan?,,,,,,,Is there an up to date Pathway Plan?,3. For LA reporting purposes and generating performance indicators
622,Item 610,Will this plan be used for a detention placement?,,,,,,,Will this be used as the detention placement plan?,1. For social work practitioners and/or the child/YP
628,Item 616,Chair's comments on permanence plan,,,,,,,Chairs comments on permanence plan,1. For social work practitioners and/or the child/YP
629,Item 617,Why was this permanency plan chosen?,,,,,,,Please explain why this permanence plan was chosen,1. For social work practitioners and/or the child/YP
630,Item 618,How will the permanency plan be pursued?,,,,,,,Details of any actions taken to pursue this,1. For social work practitioners and/or the child/YP
675,Item 663,Copy of placement plan provided to: Foster carer/Residential worker,,,,,,,Copy of placement plan provided to: Foster carer/Residential worker,1. For social work practitioners and/or the child/YP
801,Item 788,Alternative placement choice,,,,,,,Alternative choice of Placement type,1. For social work practitioners and/or the child/YP
829,Item 816,Reason(s) for choosing this placement Addressing safeguarding needs,,,,,,,Reason(s) for choosing this placement Addressing safeguarding needs,1. For social work practitioners and/or the child/YP
830,Item 817,Reason(s) for choosing this placement Health,,,,,,,Reason(s) for choosing this placement Health,1. For social work practitioners and/or the child/YP
831,Item 818,Reason(s) for choosing this placement Contact arrangements,,,,,,,Reason(s) for choosing this placement Contact arrangements,1. For social work practitioners and/or the child/YP
832,Item 819,Reason(s) for choosing this placement Emotional and behavioural development and social presentation,,,,,,,Reason(s) for choosing this placement Emotional and behavioural development and social presentation,1. For social work practitioners and/or the child/YP
833,Item 820,Reason(s) for choosing this placement Views of child,,,,,,,Reason(s) for choosing this placement Views of child,1. For social work practitioners and/or the child/YP
834,Item 821,Reason(s) for choosing this placement Views of parents,,,,,,,Reason(s) for choosing this placement Views of parents,1. For social work practitioners and/or the child/YP
835,Item 822,Reason(s) for choosing this placement Personal attributes of carer,,,,,,,Reason(s) for choosing this placement Personal attributes of carer,1. For social work practitioners and/or the child/YP
843,Item 830,Matching criteria for alternative placement choice,,,,,,,Matching considerations for alternative placement,1. For social work practitioners and/or the child/YP
882,Item 869,Details of placement agreement,,,,,,,Further details,1. For social work practitioners and/or the child/YP
914,Item 901,Priority on next steps,,,,,,,Set priority,1. For social work practitioners and/or the child/YP
915,Item 902,Note on next steps,,,,,,,Note,1. For social work practitioners and/or the child/YP
916,Item 903,Send next steps on immediately?,,,,,,,Send Immediately?,1. For social work practitioners and/or the child/YP
917,Item 904,Send next steps to SW?,,,,,,,Pass to worker,1. For social work practitioners and/or the child/YP
927,Item 914,Is the child/young person from this LA?,,,,,,,Is this CYP placed outside of Camden?,3. For LA reporting purposes and generating performance indicators
1007,Item 994,Has accommodation been considered with: other parent,,,,,,,Have the following options been explored? Other parent,1. For social work practitioners and/or the child/YP
1008,Item 995,Has accommodation been considered with: grandparents,,,,,,,Have the following options been explored? Grandparents,1. For social work practitioners and/or the child/YP
1009,Item 996,Has accommodation been considered with: extended family members,,,,,,,Have the following options been explored? Extended family members,1. For social work practitioners and/or the child/YP
1010,Item 997,Has accommodation been considered with: other connected people,,,,,,,Have the following options been explored? Other Connected Person,1. For social work practitioners and/or the child/YP
1011,Item 998,Has a family group conference been arranged?,,,,,,,Has a Family Group Conference been arranged?,1. For social work practitioners and/or the child/YP
1012,Item 999,Has search for residential accommodation been agreed?,,,,,,,Has search for residential accommodation been agreed?,2. For management oversight of case decisions and accountability purposes
1013,Item 1000,Has search for P&V fostering been agreed?,,,,,,,Has search for P&V fostering been agreed?,2. For management oversight of case decisions and accountability purposes
1018,Item 1004,"If not involved in any leisure activities, why not?",,,,,,,"If not involved in any leisure activities, why not?",1. For social work practitioners and/or the child/YP
1056,Item 1039,CLA Visit status,,,,,,,Visit status,3. For LA reporting purposes and generating performance indicators
1057,Item 1040,Reason CLA Visit did not happen,,,,,,,Reason visit did not take place,3. For LA reporting purposes and generating performance indicators
1058,Item 1041,Last CLA meeting date,,,,,,,Date of last meeting,1. For social work practitioners and/or the child/YP
1059,Item 1042,Current CLA meeting date,,,,,,,Date of this meeting,3. For LA reporting purposes and generating performance indicators
1060,Item 1043,Type of CLA meeting,,,,,,,Type of review,1. For social work practitioners and/or the child/YP
1064,Item 1047,CLA review held within statutory timeframe?,,,,,,,Was Review Meeting held by the statutory due date ?,3. For LA reporting purposes and generating performance indicators
1065,Item 1048,Review outside of timeframe reason: sickness,,,,,,,"If delayed, please tick below Sickness: please state who",3. For LA reporting purposes and generating performance indicators
1066,Item 1049,Review outside of timeframe reason: Attendance at court,,,,,,,"If delayed, please tick below Attendance at Court: Please state who",1. For social work practitioners and/or the child/YP
1067,Item 1050,Review outside of timeframe reason: other,,,,,,,"If delayed, please tick below Other, please specify",1. For social work practitioners and/or the child/YP
1075,Item 1058,"If other location, specify",,,,,,,"If other, please specify",1. For social work practitioners and/or the child/YP
1078,Item 1061,Who attended the CLA review,,,,,,,People attending the meeting,1. For social work practitioners and/or the child/YP
1079,Item 1062,How did CLA review participant contribute?,,,,,,,Attendees How did the participant contribute?	,
1080,Item 1063,Attendees to CLA review to receive chair's report?,,,,,,,Attendees To receive copy of chair's report,1. For social work practitioners and/or the child/YP
1090,Item 1073,Has the child seen the CLA report?,,,,,,,Has this report been shared with the child/young person at least 2 days prior to the review in an age-appropriate form?,1. For social work practitioners and/or the child/YP
1091,Item 1074,Have the parents seen the CLA report?,,,,,,,Has this report been shared with the parents/holders of Parental Responsibility for the child at least 2 days prior to the review?,1. For social work practitioners and/or the child/YP
1092,Item 1075,Who was involved in the CLA review: Carer,,,,,,,Were the following people involved in the review process? Carers,3. For LA reporting purposes and generating performance indicators
1093,Item 1076,Who was involved in the CLA review: Parents/PR,,,,,,,Were the following people involved in the review process? Parents/PR,3. For LA reporting purposes and generating performance indicators
1094,Item 1077,Who was involved in the CLA review: Education,,,,,,,Were the following people involved in the review process? Education,3. For LA reporting purposes and generating performance indicators
1095,Item 1078,Who was involved in the CLA review: Health,,,,,,,Were the following people involved in the review process? Health,3. For LA reporting purposes and generating performance indicators
1096,Item 1079,Who was involved in the CLA review: significant information,,,,,,,Were the following people involved in the review process? Significant information,3. For LA reporting purposes and generating performance indicators
1097,Item 1080,Comments on who was involved with the care review,,,,,,,Comments,1. For social work practitioners and/or the child/YP
1098,Item 1081,How was the child encouraged to take part or contribute to the meeting?,,,,,,,How was the child encouraged to take part or contribute to the meeting?,3. For LA reporting purposes and generating performance indicators
1099,Item 1082,Has it been agreed that the child can be visited at a minimum of every 3 months,,,,,,,Has it been agreed that the child can be visited at a minimum of every 3 months,3. For LA reporting purposes and generating performance indicators
1102,Item 1085,How others feel - CLA Review,,,,,,,Views of others,1. For social work practitioners and/or the child/YP
1107,Item 1090,"If the birth mother did not attend, identify the reason",,,,,,,"If the birth mother did not attend, identify the reason",3. For LA reporting purposes and generating performance indicators
1108,Item 1091,"If the birth father did not attend, identify the reason",,,,,,,"If the birth father did not attend, identify the reason",3. For LA reporting purposes and generating performance indicators
1113,Item 1096,Contact arrangements as result of CLA Review,,,,,,,Contact arrangements,1. For social work practitioners and/or the child/YP
1115,Item 1098,Details of changes to plan given CLA Review,,,,,,,Details of any changes agreed,1. For social work practitioners and/or the child/YP
1135,Item 1118,Is this review authorising a long-term fostering placement for a young person aged 16/17?,,,,,,,Is this review authorising a long-term fostering placement for a young person aged 16/17?,3. For LA reporting purposes and generating performance indicators
1137,Item 1120,Is this review authorising a child’s return home as their permanence plan?,,,,1. For social work practitioners and/or the child/YP,,,Is this review authorising a child’s return home as their permanence plan?,3. For LA reporting purposes and generating performance indicators
1188,Item 1171,Assistant director sign off for permanency matching,,,,,,,Assistant Director (This only needs to be signed off by the Assistant Director when permanency matching),2. For management oversight of case decisions and accountability purposes
1189,Item 1172,Forms to distribute as a result of CLA review: SW assessment,,,,,,,Which forms/reports should be distributed? SW updated assessment,1. For social work practitioners and/or the child/YP
1190,Item 1173,Forms to distribute as a result of CLA review: chair's report,,,,,,,Which forms/reports should be distributed? Chairs report,1. For social work practitioners and/or the child/YP
1191,Item 1174,Forms to distribute as a result of CLA review: others,,,,,,,Which forms/reports should be distributed? Other forms/reports,1. For social work practitioners and/or the child/YP
1192,Item 1175,Forms to distribute as a result of CLA review: specify,,,,,,,Which forms/reports should be distributed? Please specify,1. For social work practitioners and/or the child/YP
1193,Item 1176,Record of form distribution,,,,,,,Distribution of Review Record Name/ Agency,3. For LA reporting purposes and generating performance indicators
1194,Item 1177,Record of form distribution date,,,,,,,Distribution of Review Record Date distributed,3. For LA reporting purposes and generating performance indicators
1220,Item 1203,Is there an up to date Adoption Plan?,,,,,,,Is there an up to date Adoption Plan?,3. For LA reporting purposes and generating performance indicators
1223,Item 1206,Fostering and Permanence Panel Date of meeting,,,,,,,Fostering and Permanence Panel Date of meeting,3. For LA reporting purposes and generating performance indicators
1226,Item 1209,Regional Adoption Agency Panel Date of meeting,,,,,,,Regional Adoption Agency Panel Date of meeting,3. For LA reporting purposes and generating performance indicators
